Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Gender:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it. [Other],City:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,State/Province:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,Country:  This question is entirely OPTIONAL so if you don't want to share information feel free to skip it.,"Formation or Concentration:  Please tell us your educational background (biology, chemistry, physics, etc)",Please tell us the highest degree achieved:,Please tell us the highest degree achieved: [Other],Are you affiliated with any institutions/groups/organizations?,Could you tell us which one(s)?,"If you are in an academic institution, what is your main occupation:   ",Which of these are your main work area,Which of these are your main work area [Other],For how many years have you been working in this area?   ,How do you perceive research equipment access inside your group/institution?,How do you perceive research equipment access inside your group/institution? [Other],Could you explain a bit your previous answer?,Which of the following do you consider to be the biggest difficulty in equipment access?,Which of the following do you consider to be the biggest difficulty in equipment access? [Other],Which equipments/tools are most used in your lab/workspace? [Most used:],Which equipments/tools are most used in your lab/workspace? [Second most used (if any):],Which equipments/tools are most used in your lab/workspace? [Third most used (if any):],"If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 1:]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 2 (if any):]","If funds were not a constrain and you could buy a new piece of research equipment today, what would it be? (please try to avoid acronyms (use thermocycler instead of PCR machine) [Equipment 3(if any):]",Was there ever a need to change a project due to problems related to equipment use/access?,"Could you tell us which equipment caused the change? (please try to avoid acronyms,  use thermocycler instead of PCR machine).","In case any projects had to be changed due to access/problems, could you tell us why?","Do you use Open Technologies* in your work/research/projects?     *Any tools, code or equipment based on open source (build, calibration plans, and/or code freely distributed)   ","Which ones? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know anyone who is using open technologies?,"Could you tell us what they are using? (Please list all that you remember. Separate them with commas: ImageJ, Python, Ubuntu, OpenPCR, etc)",Do you know any scientific equipment that is open source?,"Which ones (please list all that you know/remember. Separate them with commas: OpenPCR, OpenEphys, etc)",Would you consider buying equipment from new brands?,Could you tell us why?,"Would you consider building laboratory equipment yourself, if you were given a list of necessary components and the building and calibration manuals?",Could you tell us why?,Have you ever tested equipment from less known/new brands?,You did it because:,Have you ever built laboratory equipment yourself?,Could you please tell us a bit more about it?,Would you like to test research equipment from new brands or distributed under DIY paradigm?
Male,,Brighton,East Sussex,UK,Biology,Masters,,Yes,University of Sussex,Non-administrative/non-academic work,Computer science,,5,Partially satisfactory,,There is some broken stuff,Certain types of equipment are not available,,2 photon microscopes,none,none,light sheet microscope,None,None,Yes,PCR machine,Equipment broke and it took too much time to repair it,Yes,"Python, Prusa",Yes,"ImageJ, Ultimaker",Yes,"OpenPCR, OpenEphys",Yes,nothing against new brands,Yes,"If I can calibrate it to a certain standard, it should be fine",Yes,Looking for affordable option,Yes,"We do it in the lab all the time, to save costs and customize experiments",Yes
Female,,Salem ,TamilNadu ,India,"Computer Science, mathematics ",Other,Bachelors of Engineering ,Yes,,Non-administrative/non-academic work,Computer science,,5,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Male,,Barcelona,Barcelona,España,Biotecnología,Masters,,Yes,,Researcher,Biology,,3,Satisfactory,,,,,Ordenador,Cytometro de flujo,Immuno,Máquina de secuenciación de single cell,None,None,I wouldn't know,,,Yes,"Libreoffice, R, firefox, Ubuntu",Yes,"Ubuntu, libreoffice, R",No,,Yes,"Si hacen mejor su tarea y son más eficientes, rápidas y más baratas",No,"Porqué yo solo uso el ordenador, si se construyera algo tendría que ser adaptado al usuario.",No,,No,,No
Male,,,,Denmark,Civil engineering,PhD,,Yes,,Professor,Engineering,,8,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Amsterdam,,Netherlands,Neuroscience,Masters,,Yes,Vrije University and medical center,Researcher,Biology,,6,Partially satisfactory,,Cutting edge technology for behavioural work is very expensive,Too many users for a small number of equipment/tools,,"Operant chambers,",Wetlabware immunohistochemistry,Surgical tools,Operanda for operant chambers,Shutters for lasers,Lasers,Yes,Lasers and appropriate shutter systems,Equipment broke and it took too much time to repair it,Yes,"Imagej, python, r, ",I wouldn't know,,Yes,"OpenEphys, animal tracking systems",Yes,On recommendation,Yes,Sure! To save money and know how equipment works,Yes,Brand was recommended by a colleague,Yes,"Optogenetic tools, parts of operant chambers",Yes
Female,,,,,PhD in Natural Sciences,PhD,,Yes,University,Researcher,Biology,,5,Satisfactory,,,,,Microscopes,Pipette,none,Fluorescence Microscope,None,None,No,,,Yes,"ImageJ, R",Yes,"ImageJ, R, Ubuntu",No,,Yes,"If the price is competitive, with warranty and if it offers similar features.",Yes,"Made to my specific requirements, can be modular, etc",Yes,Looking for affordable option,No,,Yes
Male,,Brighton,East Sussex,United Kingdom,biology,PhD,,Yes,University of Sussex,Researcher,Biology,,19,Partially satisfactory,,"All the major equipment are available in the lab or inside our institute. However, we need to outsource some experiments that require very expensive machines. Examples of those are, dense DNA-sequencing and serial block-face scanning electron microscope.",Too many users for a small number of equipment/tools,,Equipment for zebrafish maintenance and breeding.,Two-photon microscopes,Computer for data analysis,Serial block-face scanning electron microscope,Super-fast computer,Two-photon hologram set-up,No,,,Yes,"ImageJ, ApE (DNA sequence analysing software), BLAST (website for genome and RNA sequence database and analysis), OpenSpritzer.",Yes,"ImageJ, ApE (DNA sequence analysing software), BLAST (website for genome and RNA sequence database and analysis), OpenSpritzer, Python.",Yes,"OpenPCR, ZebEyeTrack (a software to control hardware and track zebrafish behaviour)",Maybe,"I prefer equipment that just works without any hassle. I usually ask around to see what people are already using and working, then buy the same. These tend to be from established brands, but if there are some that are working well but from new brands, then I will consider.",Yes,"In this way, I know how the equipment works and then I can modify or fix if it's broken.",Yes,Looking for affordable option,No,,Yes
Male,,Bilbao,Basque Country,Spain,Biology,Masters,,Yes,University of the Basque Country,Researcher,Biology,,1,Partially satisfactory,,"In the case of computers, we do not have permisions for installing programs and we need to call the technicians",I don’t see any difficulties in equipment access,,Computers,Thermocycler,Incubators,Thermocycler,Incubator,None,I wouldn't know,,,Yes,"Ubuntu, Python, Libreoffice, RStudio, Firefox, ",I wouldn't know,,No,,,,,,,,,,
Male,,Brighton,Sussex,Uk,Biology,Masters,,,,Researcher,Biology,,4,,,,,,,none,none,,None,None,,,,,,,,,,,,,,,,,,
Female,,Göttingen,Niedersachsen,Germany,"Biotechnology, Neuroscience",Masters,,Yes,"European Neuroscience Institute, Universitätsmedizin Göttingen",Student,Biology,,4,Satisfactory,,"The equipment available in my institute is completely accessible to all researchers/ students in the institute, after proper user introduction and safety instructions.",,,Two-photon microscope,Confocal microscope,Molecular biology-related tools such as thermocycler,"A high-resolution, flexible digital screen to project visual stimulation",A robot to flip fruit flies ,none,No,,,Yes,"ImageJ, some Matlab toolboxes or functions made freely accessible",Yes,"ImageJ, Python, Ubuntu",No,,Maybe,"it might be cheaper, or sometimes even improved version of what old brands make",Yes,"It will be definitely cheaper than buying one, will be more reliable and catering to my needs since I built it myself and it will also be a rewarding learning experience.",Yes,Brand was recommended by a colleague,No,,Yes
