,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,Timestamp,Sexo:,Idade (em anos),País:,Estado:,Cidade:,Escolaridade:,Formação:,Possui vínculo com alguma instituição?,"Se sim, qual o nome dessa instituição? (opcional)",Ocupação:,Qual destas é a sua área principal (Grande Área)?,Há quantos anos você atua nessa área?,Qual é a sua sub-área?,Você utiliza técnologias abertas na pesquisa?,Você conhece alguém que utiliza tecnologias abertas na pesquisa?,Você conhece alguma iniciativa ou equipamento que seja open source e desenvolvido para uso laboratorial?,Como você percebe o acesso à equipamentos para a pesquisa dentro da sua instituição?,"Caso considere que existam dificuldades relacionadas ao acesso à equipamentos, na sua opinião, qual seria a maior barreira?","Poderia em algumas palavras, nos dizer a razão?",Qual(is) equipamento(s) o seu laboratório mais usa / necessita?,Algum projeto já teve de ser alterado por falta de acesso a equipamentos?,"Se sim, qual equipamento causou a alteração no projeto?","Caso tenha ocorrido alguma alteração de projeto no momento de execução por falta de acesso à equipamentos, qual o motivo?","Se você pudesse comprar um equipamento novo para o laboratório hoje, e verba não fosse um problema, que equipamento seria?",Considera viável a opção de adquirir equipamentos de novas marcas?,Já teve oportunidade de testar equipamentos de novas marcas?,"Caso já tenha testado produtos de uma nova marca, você fez porque","Gostaria de ter acesso, para testes, à equipamentos produzidos por novas marcas e com baixo custo?"
0,8/22/2018 20:04:49,masculino,54,brazil,rio grande norte,natal,doutorado,medicina,"sim, instituicao publica",ufrn,"pesquisador, professor",biologia,26 - 30,neurociencia,sim,sim,,insatisfatorio,certos tipos de equipamento nao estao disponiveis,pouca divulgacao dos equipamentos e centralizacao por parte dos pesquisadores,"poligrafo (medida des de sinais bieletricos), actimetros,",sim,actigrafos,por quebra do equipamento existente e demora na manutencao,poligrafo (para eeg),sim,sim,buscava um preco mais acessivel,sim
1,8/22/2018 20:50:50,masculino,28,brazil,sao paulo,presidente prudente,"doutorado, em andamento",quimica-bacharelado,"sim, instituicao publica",unesp,estudante,quimica,06 - 10,quimica de materiais,sim,sim,normalmente softwares como imagej,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,"muitos equipamentos sao de uso limitado ao grupo de pesquisa que pertence, ou as vezes e autorizado a realizacao de analises ""externas"" porem com cobranca de altas taxas","espectrofotometria uv-vis, espectroscopia ft-ir",sim,analise elementar chns-o; icp-ms; viscosimetro,alteracao no momento de planejamento,analise elementar chns-o,sim,nao,,
2,8/22/2018 20:57:05,feminino,32,brazil,rj,rio de janeiro,doutorado,ciencias biologicas,"sim, instituicao publica",fiocruz,pesquisador,biologia,11 - 15,bioquimica e imunologia,sim,sim,imagej,insatisfatorio,demora na manutencao/conserto do equipamento existente,,"espectrofotometro, microscopio",nao,,"apesar de dificuldades com equipamentos, nao foi necessario alterar nenhum projeto porque contamos com equipamentos de colaboradores",microscopio confocal,sim,nao,,
3,8/22/2018 21:09:13,masculino,22,brazil,sao paulo,botucatu,"graduacao - bacharelado, em andamento",engenharia de bioprocessos e biotecnologia,"sim, instituicao publica",unesp,estudante,engenharia,01 - 05,bioinformatica,nao,sim,sim,parcialmente satisfatorio,muitos pesquisadores e poucos equipamentos,,computadores,nao tenho conhecimento,nao,nenhuma alteracao no projeto de pesquisa foi necessaria pela falta ou quebra de equipamentos,uma maquina propria,sim,nao,,
4,8/22/2018 21:30:34,masculino,26,brazil,sao paulo,sao paulo,graduacao - bacharelado,quimica,"sim, instituicao publica",usp,estudante,quimica,01 - 05,produtos naturais,nao sei responder,sim,mini centrifuga desenvolvida pelo clube de hardware livre ime-usp,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,"hplc-dad, gc-ms, rmn(analise paga, feita no iqusp)",sim,hplc-ms,equipamento indisponivel (outras razoes alem de quebra),hplc-ms,sim,nao,,
5,8/22/2018 21:34:34,feminino,29,brazil,minas gerais,belo horizonte,doutorado,doutorado em biologia celular,"sim, instituicao publica",ufmg,pesquisador,biologia,06 - 10,biologia celular e molecular,sim,sim,somente bases de dados,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,termocicladores e aparatos de eletroforese,sim,citometro de fluxo e microscopio de fluorescencia,"por quebra do equipamento existente e demora na manutencao, equipamento indisponivel (outras razoes alem de quebra)",citometro de fluxo com imagem (imaging flow cytometer),talvez,sim,buscava um preco mais acessivel,sim
6,8/22/2018 21:35:17,masculino,22,brazil,sao paulo,botucatu,em andamento,graduando em engenharia de bioprocessos e biotecnologia,"sim, instituicao publica",universidade estadual paulista julio de mesquita filho unesp,estudante,engenharia,01 - 05,quimica eletroanalitica e nanotecnologia,nao,sim,nao conheco,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,"muitos pesquisadores e poucos equipamentos, e aqueles que o possuem tem um monopolio de uso. deve espalhar a cultura dos laboratorios multiusuarios","eletrodos, celulas eletroquimicas, potenciados, agitadores magneticos",nao,,,,sim,nao,,
7,8/22/2018 21:38:24,masculino,28,brazil,sao paulo,campinas,mestrado,quimica,"sim, instituicao publica",unicamp,estudante,quimica,06 - 10,bioinformatica/metabolomica,sim,sim,xcms,insatisfatorio,muitos pesquisadores e poucos equipamentos,,qtof,sim,qtof,por quebra do equipamento existente e demora na manutencao,ion mobility ou orbitrap,talvez,nao,,
8,8/22/2018 21:52:10,masculino,42,brazil,rio de janeiro,campos dos goytacazes,doutorado,profissional de educacao fisica,"sim, instituicao privada",,"professor, profissional da area administrativa",saude,11 - 15,neurociencias,nao,nao,sim,satisfatorio,nao percebo dificuldades em relacao ao acesso de equipamentos,,eletroencefalograma (eeg),sim,eeg,equipamento indisponivel (outras razoes alem de quebra),eeg quantitativo com foto estimulador,sim,nao,,
