id--Response_ID	submitdate--Date_submitted	lastpage--Last_page	startlanguage--Start_language	a03--Gender:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--City:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--State/Province:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--Country:__This_question_is_entirely_OPTIONAL_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--Formation_or_Concentration:__Please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--Please_tell_us_the_highest_degree_achieved:	b03--Are_you_affiliated_with_any_institutions/groups/organizations?	b04--Could_you_tell_us_which_one(s)?	b05--If_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __Which_of_these_are_your_main_work_area?	c02--For_how_many_years_have_you_been_working_in_this_area?__ 	e01--How_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--Could_you_explain_a_bit_your_previous_answer?	e02--Which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[SQ001]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Most_used:]	e04[SQ002]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Second_most_used_(if_any):]	e04[SQ003]--Which_equipments/tools_are_most_used_in_your_lab/workspace?_[Third_most_used_(if_any):]	e08[SQ001]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_1:]	e08[SQ002]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_2_(if_any):]	e08[SQ003]--If_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_PCR_machine)_[Equipment_3(if_any):]	e05--Was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--Could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_PCR_machine).	e07--In_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--Do_you_use_Open_Technologies*_in_your_work/research/projects?__ __*Any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--Which_ones?_(Please_list_all_that_you_remember._Separate_them_with_commas:_ImageJ,_Python,_Ubuntu,_OpenPCR,_etc)	d02--Do_you_know_anyone_who_is_using_open_technologies?	d05--Could_you_tell_us_what_they_are_using?_(Please_list_all_that_you_remember._Separate_them_with_commas:_ImageJ,_Python,_Ubuntu,_OpenPCR,_etc)	d03--Do_you_know_any_scientific_equipment_that_is_open_source?	d06--Which_ones_(please_list_all_that_you_know/remember._Separate_them_with_commas:_OpenPCR,_OpenEphys,_etc)	f01--Would_you_consider_buying_equipment_from_new_brands?	f08--Could_you_tell_us_why?	f02--Would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--Could_you_tell_us_why?	f03--Have_you_ever_tested_equipment_from_less_known/new_brands?	f04--You_did_it_because:	f05--Have_you_ever_built_laboratory_equipment_yourself?	f06--Could_you_please_tell_us_a_bit_more_about_it?	f07--Would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_DIY_paradigm?
20	2019-01-18 07:00:10	8	en	Male	Brighton	East Sussex	UK	Biology	Masters	Yes	University of Sussex	Non-administrative/non-academic work	Computer science	5	Partially satisfactory	There is some broken stuff	Certain types of equipment are not available	2 photon microscopes	none	none	light sheet microscope	None	None	Yes	PCR machine	Equipment broke and it took too much time to repair it	Yes	Python, Prusa	Yes	ImageJ, Ultimaker	Yes	OpenPCR, OpenEphys	Yes	nothing against new brands	Yes	If I can calibrate it to a certain standard, it should be fine	Yes	Looking for affordable option	Yes	We do it in the lab all the time, to save costs and customize experiments	Yes
21		3	en	Female	Salem 	TamilNadu 	India	Computer Science, mathematics 	Other	Yes		Non-administrative/non-academic work	Computer science	5					none	none		None	None																		
22	2019-01-18 07:38:03	8	es	Male	Barcelona	Barcelona	España	Biotecnología	Masters	Yes		Researcher	Biology	3	Satisfactory			Ordenador	Cytometro de flujo	Immuno	Máquina de secuenciación de single cell	None	None	I wouldn't know			Yes	Libreoffice, R, firefox, Ubuntu	Yes	Ubuntu, libreoffice, R	No		Yes	Si hacen mejor su tarea y son más eficientes, rápidas y más baratas	No	Porqué yo solo uso el ordenador, si se construyera algo tendría que ser adaptado al usuario.	No		No		No
23		3	en	Male			Denmark	Civil engineering	PhD	Yes		Professor	Engineering	8					none	none		None	None																		
24	2019-01-18 08:09:31	8	en	Female	Amsterdam		Netherlands	Neuroscience	Masters	Yes	Vrije University and medical center	Researcher	Biology	6	Partially satisfactory	Cutting edge technology for behavioural work is very expensive	Too many users for a small number of equipment/tools	Operant chambers,	Wetlabware immunohistochemistry	Surgical tools	Operanda for operant chambers	Shutters for lasers	Lasers	Yes	Lasers and appropriate shutter systems	Equipment broke and it took too much time to repair it	Yes	Imagej, python, r, 	I wouldn't know		Yes	OpenEphys, animal tracking systems	Yes	On recommendation	Yes	Sure! To save money and know how equipment works	Yes	Brand was recommended by a colleague	Yes	Optogenetic tools, parts of operant chambers	Yes
26	2019-01-18 08:56:55	8	en	Female				PhD in Natural Sciences	PhD	Yes	University	Researcher	Biology	5	Satisfactory			Microscopes	Pipette	none	Fluorescence Microscope	None	None	No			Yes	ImageJ, R	Yes	ImageJ, R, Ubuntu	No		Yes	If the price is competitive, with warranty and if it offers similar features.	Yes	Made to my specific requirements, can be modular, etc	Yes	Looking for affordable option	No		Yes
27	2019-01-18 09:29:15	8	en	Male	Brighton	East Sussex	United Kingdom	biology	PhD	Yes	University of Sussex	Researcher	Biology	19	Partially satisfactory	All the major equipment are available in the lab or inside our institute. However, we need to outsource some experiments that require very expensive machines. Examples of those are, dense DNA-sequencing and serial block-face scanning electron microscope.	Too many users for a small number of equipment/tools	Equipment for zebrafish maintenance and breeding.	Two-photon microscopes	Computer for data analysis	Serial block-face scanning electron microscope	Super-fast computer	Two-photon hologram set-up	No			Yes	ImageJ, ApE (DNA sequence analysing software), BLAST (website for genome and RNA sequence database and analysis), OpenSpritzer.	Yes	ImageJ, ApE (DNA sequence analysing software), BLAST (website for genome and RNA sequence database and analysis), OpenSpritzer, Python.	Yes	OpenPCR, ZebEyeTrack (a software to control hardware and track zebrafish behaviour)	Maybe	I prefer equipment that just works without any hassle. I usually ask around to see what people are already using and working, then buy the same. These tend to be from established brands, but if there are some that are working well but from new brands, then I will consider.	Yes	In this way, I know how the equipment works and then I can modify or fix if it's broken.	Yes	Looking for affordable option	No		Yes
28		5	en	Male	Bilbao	Basque Country	Spain	Biology	Masters	Yes	University of the Basque Country	Researcher	Biology	1	Partially satisfactory	In the case of computers, we do not have permisions for installing programs and we need to call the technicians	I don’t see any difficulties in equipment access	Computers	Thermocycler	Incubators	Thermocycler	Incubator	None	I wouldn't know			Yes	Ubuntu, Python, Libreoffice, RStudio, Firefox, 	I wouldn't know		No										
29		3	en	Male	Brighton	Sussex	Uk	Biology	Masters			Researcher	Biology	4					none	none		None	None																		
30	2019-01-18 10:51:23	8	en	Female	Göttingen	Niedersachsen	Germany	Biotechnology, Neuroscience	Masters	Yes	European Neuroscience Institute, Universitätsmedizin Göttingen	Student	Biology	4	Satisfactory	The equipment available in my institute is completely accessible to all researchers/ students in the institute, after proper user introduction and safety instructions.		Two-photon microscope	Confocal microscope	Molecular biology-related tools such as thermocycler	A high-resolution, flexible digital screen to project visual stimulation	A robot to flip fruit flies 	none	No			Yes	ImageJ, some Matlab toolboxes or functions made freely accessible	Yes	ImageJ, Python, Ubuntu	No		Maybe	it might be cheaper, or sometimes even improved version of what old brands make	Yes	It will be definitely cheaper than buying one, will be more reliable and catering to my needs since I built it myself and it will also be a rewarding learning experience.	Yes	Brand was recommended by a colleague	No		Yes
