id--response_id	submitdate--date_submitted	lastpage--last_page	startlanguage--start_language	a03--gender:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a06--city:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a05--state/province:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	a04--country:__this_question_is_entirely_optional_so_if_you_don't_want_to_share_information_feel_free_to_skip_it.	b02--formation_or_concentration:__please_tell_us_your_educational_background_(biology,_chemistry,_physics,_etc)	b01--please_tell_us_the_highest_degree_achieved:	b03--are_you_affiliated_with_any_institutions/groups/organizations?	b04--could_you_tell_us_which_one(s)?	b05--if_you_are_in_an_academic_institution,_what_is_your_main_occupation:__ 	c01-- __which_of_these_are_your_main_work_area?	c02--for_how_many_years_have_you_been_working_in_this_area?__ 	e01--how_do_you_perceive_research_equipment_access_inside_your_group/institution?	e03--could_you_explain_a_bit_your_previous_answer?	e02--which_of_the_following_do_you_consider_to_be_the_biggest_difficulty_in_equipment_access?	e04[sq001]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[most_used:]	e04[sq002]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[second_most_used_(if_any):]	e04[sq003]--which_equipments/tools_are_most_used_in_your_lab/workspace?_[third_most_used_(if_any):]	e08[sq001]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_1:]	e08[sq002]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_2_(if_any):]	e08[sq003]--if_funds_were_not_a_constrain_and_you_could_buy_a_new_piece_of_research_equipment_today,_what_would_it_be?_(please_try_to_avoid_acronyms_(use_thermocycler_instead_of_pcr_machine)_[equipment_3(if_any):]	e05--was_there_ever_a_need_to_change_a_project_due_to_problems_related_to_equipment_use/access?	e06--could_you_tell_us_which_equipment_caused_the_change?_(please_try_to_avoid_acronyms, _use_thermocycler_instead_of_pcr_machine).	e07--in_case_any_projects_had_to_be_changed_due_to_access/problems,_could_you_tell_us_why?	d01--do_you_use_open_technologies*_in_your_work/research/projects?__ __*any_tools,_code_or_equipment_based_on_open_source_(build,_calibration_plans,_and/or_code_freely_distributed)__ 	d04--which_ones?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d02--do_you_know_anyone_who_is_using_open_technologies?	d05--could_you_tell_us_what_they_are_using?_(please_list_all_that_you_remember._separate_them_with_commas:_imagej,_python,_ubuntu,_openpcr,_etc)	d03--do_you_know_any_scientific_equipment_that_is_open_source?	d06--which_ones_(please_list_all_that_you_know/remember._separate_them_with_commas:_openpcr,_openephys,_etc)	f01--would_you_consider_buying_equipment_from_new_brands?	f08--could_you_tell_us_why?	f02--would_you_consider_building_laboratory_equipment_yourself,_if_you_were_given_a_list_of_necessary_components_and_the_building_and_calibration_manuals?	f09--could_you_tell_us_why?	f03--have_you_ever_tested_equipment_from_less_known/new_brands?	f04--you_did_it_because:	f05--have_you_ever_built_laboratory_equipment_yourself?	f06--could_you_please_tell_us_a_bit_more_about_it?	f07--would_you_like_to_test_research_equipment_from_new_brands_or_distributed_under_diy_paradigm?
20	2019-01-18 07:00:10	8	en	male	brighton	east sussex	uk	biology	masters	yes	university of sussex	non-administrative/non-academic work	computer science	5	partially satisfactory	there is some broken stuff	certain types of equipment are not available	2 photon microscopes	none	none	light sheet microscope	none	none	yes	pcr machine	equipment broke and it took too much time to repair it	yes	python, prusa	yes	imagej, ultimaker	yes	openpcr, openephys	yes	nothing against new brands	yes	if i can calibrate it to a certain standard, it should be fine	yes	looking for affordable option	yes	we do it in the lab all the time, to save costs and customize experiments	yes
21		3	en	female	salem 	tamilnadu 	india	computer science, mathematics 	other	yes		non-administrative/non-academic work	computer science	5					none	none		none	none																		
22	2019-01-18 07:38:03	8	es	male	barcelona	barcelona	españa	biotecnología	masters	yes		researcher	biology	3	satisfactory			ordenador	cytometro de flujo	immuno	máquina de secuenciación de single cell	none	none	i wouldn't know			yes	libreoffice, r, firefox, ubuntu	yes	ubuntu, libreoffice, r	no		yes	si hacen mejor su tarea y son más eficientes, rápidas y más baratas	no	porqué yo solo uso el ordenador, si se construyera algo tendría que ser adaptado al usuario.	no		no		no
23		3	en	male			denmark	civil engineering	phd	yes		professor	engineering	8					none	none		none	none																		
24	2019-01-18 08:09:31	8	en	female	amsterdam		netherlands	neuroscience	masters	yes	vrije university and medical center	researcher	biology	6	partially satisfactory	cutting edge technology for behavioural work is very expensive	too many users for a small number of equipment/tools	operant chambers,	wetlabware immunohistochemistry	surgical tools	operanda for operant chambers	shutters for lasers	lasers	yes	lasers and appropriate shutter systems	equipment broke and it took too much time to repair it	yes	imagej, python, r, 	i wouldn't know		yes	openephys, animal tracking systems	yes	on recommendation	yes	sure! to save money and know how equipment works	yes	brand was recommended by a colleague	yes	optogenetic tools, parts of operant chambers	yes
26	2019-01-18 08:56:55	8	en	female				phd in natural sciences	phd	yes	university	researcher	biology	5	satisfactory			microscopes	pipette	none	fluorescence microscope	none	none	no			yes	imagej, r	yes	imagej, r, ubuntu	no		yes	if the price is competitive, with warranty and if it offers similar features.	yes	made to my specific requirements, can be modular, etc	yes	looking for affordable option	no		yes
27	2019-01-18 09:29:15	8	en	male	brighton	east sussex	united kingdom	biology	phd	yes	university of sussex	researcher	biology	19	partially satisfactory	all the major equipment are available in the lab or inside our institute. however, we need to outsource some experiments that require very expensive machines. examples of those are, dense dna-sequencing and serial block-face scanning electron microscope.	too many users for a small number of equipment/tools	equipment for zebrafish maintenance and breeding.	two-photon microscopes	computer for data analysis	serial block-face scanning electron microscope	super-fast computer	two-photon hologram set-up	no			yes	imagej, ape (dna sequence analysing software), blast (website for genome and rna sequence database and analysis), openspritzer.	yes	imagej, ape (dna sequence analysing software), blast (website for genome and rna sequence database and analysis), openspritzer, python.	yes	openpcr, zebeyetrack (a software to control hardware and track zebrafish behaviour)	maybe	i prefer equipment that just works without any hassle. i usually ask around to see what people are already using and working, then buy the same. these tend to be from established brands, but if there are some that are working well but from new brands, then i will consider.	yes	in this way, i know how the equipment works and then i can modify or fix if it's broken.	yes	looking for affordable option	no		yes
28		5	en	male	bilbao	basque country	spain	biology	masters	yes	university of the basque country	researcher	biology	1	partially satisfactory	in the case of computers, we do not have permisions for installing programs and we need to call the technicians	i don’t see any difficulties in equipment access	computers	thermocycler	incubators	thermocycler	incubator	none	i wouldn't know			yes	ubuntu, python, libreoffice, rstudio, firefox, 	i wouldn't know		no										
29		3	en	male	brighton	sussex	uk	biology	masters			researcher	biology	4					none	none		none	none																		
30	2019-01-18 10:51:23	8	en	female	göttingen	niedersachsen	germany	biotechnology, neuroscience	masters	yes	european neuroscience institute, universitätsmedizin göttingen	student	biology	4	satisfactory	the equipment available in my institute is completely accessible to all researchers/ students in the institute, after proper user introduction and safety instructions.		two-photon microscope	confocal microscope	molecular biology-related tools such as thermocycler	a high-resolution, flexible digital screen to project visual stimulation	a robot to flip fruit flies 	none	no			yes	imagej, some matlab toolboxes or functions made freely accessible	yes	imagej, python, ubuntu	no		maybe	it might be cheaper, or sometimes even improved version of what old brands make	yes	it will be definitely cheaper than buying one, will be more reliable and catering to my needs since i built it myself and it will also be a rewarding learning experience.	yes	brand was recommended by a colleague	no		yes
